player_season_team,PLAYER,POS,AGE,TEAM,G,GS,MP,FG_per_game,FGA_per_game,FG%,3P_per_game,3PA_per_game,3P%,2P_per_game,2PA_per_game,2P%,EFG%_per_game,FT_per_game,FTA_per_game,FT%,ORB_per_game,DRB_per_game,TRB_per_game,AST_per_game,STL_per_game,BLK_per_game,TOV_per_game,PF_per_game,PTS_per_game,SEASON,FG_per_36min,FGA_per_36min,3P_per_36min,3PA_per_36min,2P_per_36min,2PA_per_36min,FT_per_36min,FTA_per_36min,ORB_per_36min,DRB_per_36min,TRB_per_36min,AST_per_36min,STL_per_36min,BLK_per_36min,TOV_per_36min,PF_per_36min,PTS_per_36min,FG_per_100poss,FGA_per_100poss,3P_per_100poss,3PA_per_100poss,2P_per_100poss,2PA_per_100poss,FT_per_100poss,FTA_per_100poss,ORB_per_100poss,DRB_per_100poss,TRB_per_100poss,AST_per_100poss,STL_per_100poss,BLK_per_100poss,TOV_per_100poss,PF_per_100poss,PTS_per_100poss,ORTG_per_100poss,DRTG_per_100poss,PER_advanced,TS%_advanced,3PAR_advanced,FTR_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced
GaryHarris_2021_DEN,GaryHarris,SG,26,DEN,18,18,30.7,3.8,8.4,.450,1.3,4.0,.333,2.4,4.4,.557,.530,1.2,1.7,.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,10.1,2021,4.4,9.8,1.6,4.7,2.9,5.1,1.4,2.0,0.8,2.1,2.9,2.0,1.1,0.3,0.8,2.3,11.8,6.1,13.5,2.1,6.4,3.9,7.1,2.0,2.7,1.1,3.0,4.0,2.8,1.5,0.4,1.1,3.1,16.3,116,116,10.2,.554,.477,.199,2.5,6.9,4.7,7.5,1.5,0.7,6.8,13.8,0.6,0.3,0.9,.075,-1.8,-1.2,-3.0,-0.1
JalenHarris_2021_TOR,JalenHarris,SG,22,TOR,2,0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,12.0,24.0,0.0,56,119,-10.4,,0.0,,26.3,0.0,13.6,0.0,0.0,0.0,100.0,10.7,0.0,0.0,0.0,-0.200,-16.5,-4.8,-21.2,0.0
JoeHarris_2021_BRK,JoeHarris,SF,29,BRK,24,20,31.9,5.6,10.9,.517,3.4,6.9,.494,2.2,4.0,.558,.674,0.4,0.6,.667,0.7,3.0,3.8,2.1,0.5,0.3,0.8,2.5,15.1,2021,6.4,12.3,3.9,7.8,2.5,4.5,0.5,0.7,0.8,3.4,4.2,2.4,0.6,0.3,0.9,2.8,17.0,8.3,16.1,5.1,10.2,3.3,5.9,0.6,0.9,1.0,4.5,5.5,3.1,0.8,0.4,1.2,3.6,22.3,129,118,14.8,.676,.636,.057,2.6,9.8,6.5,9.2,0.8,0.6,7.0,16.2,1.8,0.2,2.0,.126,2.2,-1.6,0.6,0.5
TobiasHarris_2021_PHI,TobiasHarris,PF,28,PHI,20,20,33.8,7.8,15.4,.508,2.0,4.5,.444,5.8,10.9,.535,.573,2.6,3.0,.864,1.2,6.0,7.2,2.9,0.8,0.9,2.4,2.1,20.2,2021,8.3,16.4,2.1,4.8,6.2,11.6,2.7,3.1,1.3,6.3,7.6,3.0,0.9,1.0,2.5,2.2,21.5,10.9,21.5,2.8,6.3,8.1,15.2,3.6,4.1,1.7,8.3,10.0,4.0,1.1,1.3,3.3,2.9,28.2,114,109,18.4,.605,.293,.192,4.0,18.6,11.5,13.5,1.1,2.3,12.4,23.7,1.0,0.9,1.9,.135,2.4,-0.3,2.0,0.7
ShaquilleHarrison_2021_UTA,ShaquilleHarrison,SG,27,UTA,14,0,3.6,0.4,1.4,.316,0.0,0.1,.000,0.4,1.3,.333,.316,0.4,0.4,.833,0.1,0.4,0.6,0.5,0.1,0.0,0.4,0.2,1.2,2021,4.2,13.4,0.0,0.7,4.2,12.7,3.5,4.2,1.4,4.2,5.6,4.9,1.4,0.0,3.5,2.1,12.0,5.7,18.2,0.0,1.0,5.7,17.2,4.8,5.7,1.9,5.7,7.7,6.7,1.9,0.0,4.8,2.9,16.3,86,109,6.1,.393,.053,.316,4.4,11.8,8.3,18.7,1.9,0.0,18.8,22.5,-0.1,0.1,0.0,-0.045,-7.4,-1.4,-8.8,-0.1
JoshHart_2021_NOP,JoshHart,SF,25,NOP,21,2,27.3,2.8,6.1,.461,1.3,3.5,.378,1.5,2.6,.574,.570,1.3,1.8,.737,1.1,6.3,7.4,2.0,0.9,0.1,0.7,2.2,8.3,2021,3.7,8.0,1.8,4.6,1.9,3.4,1.8,2.4,1.4,8.3,9.7,2.6,1.1,0.1,0.9,2.9,10.9,5.0,10.8,2.4,6.2,2.6,4.6,2.4,3.2,1.9,11.1,13.1,3.5,1.5,0.2,1.2,3.9,14.7,126,112,13.0,.601,.578,.297,4.3,25.0,14.7,9.5,1.5,0.4,8.8,11.7,0.9,0.6,1.5,.125,-0.3,0.7,0.4,0.3
IsaiahHartenstein_2021_DEN,IsaiahHartenstein,C,22,DEN,14,0,9.0,1.5,3.2,.467,0.0,0.0,0.0,1.5,3.2,.467,.467,1.0,1.6,.609,1.7,1.5,3.2,0.6,0.4,0.6,0.9,2.1,4.0,2021,6.0,12.9,0.0,0.0,6.0,12.9,4.0,6.6,6.9,6.0,12.9,2.6,1.7,2.6,3.4,8.6,16.0,8.2,17.7,0.0,0.0,8.2,17.7,5.5,9.0,9.4,8.2,17.7,3.5,2.4,3.5,4.7,11.8,22.0,107,106,17.3,.508,.000,.511,21.8,19.2,20.5,10.1,2.4,7.1,17.9,23.1,0.1,0.2,0.3,.107,-4.2,-1.1,-5.3,-0.1
JaxsonHayes_2021_NOP,JaxsonHayes,C,20,NOP,18,1,12.8,1.8,2.8,.627,0.0,0.0,0.0,1.8,2.8,.627,.627,0.9,1.3,.667,1.3,2.5,3.8,0.5,0.3,0.4,0.7,1.9,4.4,2021,5.0,8.0,0.0,0.0,5.0,8.0,2.5,3.8,3.6,7.0,10.6,1.4,0.9,1.1,2.0,5.5,12.5,6.7,10.7,0.0,0.0,6.7,10.7,3.4,5.1,4.8,9.5,14.3,1.9,1.3,1.5,2.7,7.4,16.8,121,111,14.6,.650,.000,.471,10.8,21.3,16.1,5.5,1.3,3.2,17.4,13.8,0.4,0.2,0.6,.124,-2.5,0.0,-2.4,0.0
KillianHayes_2021_DET,KillianHayes,PG,19,DET,7,7,21.1,1.9,6.7,.277,0.7,2.9,.250,1.1,3.9,.296,.330,0.1,0.3,.500,0.1,1.0,1.1,3.6,0.3,0.0,2.4,2.1,4.6,2021,3.2,11.4,1.2,4.9,1.9,6.6,0.2,0.5,0.2,1.7,1.9,6.1,0.5,0.0,4.1,3.6,7.8,4.3,15.5,1.6,6.6,2.6,8.9,0.3,0.7,0.3,2.3,2.6,8.2,0.7,0.0,5.6,4.9,10.5,69,118,-1.3,.334,.426,.043,0.7,5.5,3.0,24.6,0.7,0.0,26.2,18.7,-0.6,0.0,-0.5,-0.174,-9.3,-4.2,-13.6,-0.4
GordonHayward_2021_CHO,GordonHayward,SF,30,CHO,22,22,36.0,8.5,17.0,.499,2.2,5.3,.422,6.2,11.7,.533,.564,3.9,4.5,.867,0.8,4.7,5.5,3.9,1.2,0.5,2.0,2.0,23.0,2021,8.4,16.9,2.2,5.3,6.2,11.7,3.9,4.4,0.8,4.7,5.5,3.9,1.2,0.5,2.0,2.0,23.0,11.4,22.8,3.0,7.1,8.4,15.7,5.2,6.0,1.1,6.3,7.4,5.2,1.6,0.7,2.7,2.7,30.9,117,113,19.3,.608,.311,.263,2.4,14.4,8.2,18.1,1.6,1.4,9.8,24.8,1.6,0.6,2.3,.137,3.0,-0.5,2.4,0.9
